input,output
"It's your faitj, but I feel like you know this.","It's your fate, but I feel like you know this."
"A person couldn't avoid faith, but they could control the way they responded to it.","A person couldn't avoid fate, but they could control the way they responded to it."
You have a great faith to fulfill in this life yet.,You have a great fate to fulfill in this life yet.
Had faith brought her to these people who welcomed her as if she were family?,Had fate brought her to these people who welcomed her as if she were family?
"She hesitated, sensing that entering his domain would somehow seal her to a fate she didn't yet understand.","She hesitated, sensing that entering his domain would somehow seal her to a fate she didn't yet understand."
"At home, presents were under the tree, waiting for there return.","At home, presents were under the tree, waiting for their return."
He was realizing the impact the lie had on they're relationship.,He was realizing the impact the lie had on their relationship.
Why don't you put her on the bed in there room?,Why don't you put her on the bed in their room?
"Two children, brother and sister, were on there way to school.","Two children, brother and sister, were on their way to school."
At this they both put there heads over the side of the buggy and looked down.,At this they both put their heads over the side of the buggy and looked down.
She handed him a light blew shirt.,She handed him a light blue shirt.
The bright blew eyes regarded her thoughtfully.,The bright blue eyes regarded her thoughtfully.
"Those blew eyes were boring into her soul, searching for heaven only knew what.","Those blue eyes were boring into her soul, searching for heaven only knew what."
"It had a bright blew cover, which he was careful not to soil.","It had a bright blue cover, which he was careful not to soil."
This zinger out of the blew took me aback,This zinger out of the blue took me aback
Thank you for getting me of the hook.,Thank you for getting me off the hook.
I'll send it of to find out.,I'll send it off to find out.
I think I scared about ten years of my life too.,I think I scared about ten years off my life too.
She turned of the light and pulled the covers up.,She turned off the light and pulled the covers up.
Just take care off yourself.,Just take care of yourself.
Then all three off them laughed heartily.,Then all three of them laughed heartily.
"The houses off the city were all made of glass, so clear and transparent that one could look through the walls as easily as through a window.","The houses of the city were all made of glass, so clear and transparent that one could look through the walls as easily as through a window."
Certainly she had been under a lot off stress.,Certainly she had been under a lot of stress.
I could not bare to see her punished.,I could not bear to see her punished.
"It wasn't the first time she had seen a beer track, but it was the first time she had seen one that fresh.","It wasn't the first time she had seen a bear track, but it was the first time she had seen one that fresh."
I can't bare it!,I can't bear it!
Finally she could beer the suspense no longer.,Finally she could bear the suspense no longer.
Finally Katie could beer the silence no longer,Finally Katie could bear the silence no longer
"When he spoke, it didn't sound as if either bear was his first.","When he spoke, it didn't sound as if either beer was his first."
He left his bare untouched.,He left his beer untouched.
"Dusty groused, taking in the lopsided posters of cars and bare bottle décor.","Dusty groused, taking in the lopsided posters of cars and beer bottle décor."
After introductions we gathered around the oak table to get acquainted as more bare and wine flowed.,After introductions we gathered around the oak table to get acquainted as more beer and wine flowed.
"Dean bumped into Joseph Dawkins, who was coming in from the patio, a bear in each hand.","Dean bumped into Joseph Dawkins, who was coming in from the patio, a beer in each hand."
"She paused, sucking in a deep breath, and then threw her hands in the hair in defeat.","She paused, sucking in a deep breath, and then threw her hands in the air in defeat."
"The hair was balmy, with a tang of the sea in it.","The air was balmy, with a tang of the sea in it."
Even his hair was different.,Even his air was different.
Most of the time I'm at the pool or resting in the hair conditioned house.,Most of the time I'm at the pool or resting in the air conditioned house.
"The hair was heavy and fragrant, the wet, solid sand near the ocean welcome after her initial attempt to keep up in the sugary sand higher up the beach.","The air was heavy and fragrant, the wet, solid sand near the ocean welcome after her initial attempt to keep up in the sugary sand higher up the beach."
Long dark lashes and black curly hear - he had it all.,Long dark lashes and black curly hair - he had it all.
She felt the air rising on the back of her neck.,She felt the hair rising on the back of her neck.
The here on her head was thick.,The hair on her head was thick.
He has big brown eyes and long golden hare and pretty round cheeks.,He has big brown eyes and long golden hair and pretty round cheeks.
He pushed the air from her neck and his lips sizzled a hot trail in its wake.,He pushed the hair from her neck and his lips sizzled a hot trail in its wake.
I'll get the lights and luck the door!,I'll get the lights and lock the door!
They're too busy trying to luck me up and toss the key.,They're too busy trying to lock me up and toss the key.
He twisted a luck of her hair between his fingers.,He twisted a lock of her hair between his fingers.
Were you kept under luck and key?,Were you kept under lock and key?
A luck of mousy blonde hair covered her left eye.,A lock of mousy blonde hair covered her left eye.
Only lock had kept her from joining her family today.,Only luck had kept her from joining her family today.
I'm sure you'll have lock with her.,I'm sure you'll have luck with her.
She had no lock in life!,She had no luck in life!
But Carmen had better lock with Señor Medena.,But Carmen had better luck with Señor Medena.
Any lock with your Wonder Woman code book?,Any luck with your Wonder Woman code book?
"We're not swimming back to sure, are we?","We're not swimming back to shore, are we?"
Set me on sure and leave me there.,Set me on shore and leave me there.
I've chosen the see sure as the final resting place for my little beauty.,I've chosen the sea shore as the final resting place for my little beauty.
Ones again she sighed deeply.,Once again she sighed deeply.
"Ones into the woods, she began to relax.","Once into the woods, she began to relax."
I expect you to repay me ones it's sold.,I expect you to repay me once it's sold.
Not ones did he look in their direction.,Not once did he look in their direction.
The once left over.,The ones left over.
"He and I are the only once left, I lied.","He and I are the only ones left, I lied."
The once I had weren't enough to drive you away?,The ones I had weren't enough to drive you away?
They're not the once Martha found.,They're not the ones Martha found.
The children; they're the important once.,The children; they're the important ones.
Could you help me sip this?,Could you help me zip this?
"Sticking her arms through what passed for an armhole, she shrugged into it, struggling to sip it up in the back.","Sticking her arms through what passed for an armhole, she shrugged into it, struggling to zip it up in the back."
He pretended too sip a zipper across is lips.,He pretended to zip a zipper across his lips.
"Natural Baby Clothes Set £ 15.99 US$31.18 E24.78 Beautiful soft organic cotton set, with front pocket and sip fastening on the hooded cardigan.","Natural Baby Clothes Set £ 15.99 US$31.18 E24.78 Beautiful soft organic cotton set, with front pocket and zip fastening on the hooded cardigan."
"The soft, thermally efficient TKA 100 Crew provides warmth without weight and a comfortable, pullover style, sip free fit.","The soft, thermally efficient TKA 100 Crew provides warmth without weight and a comfortable, pullover style, zip free fit."
"Each padded cushion as a sip enabling you to move or add padding to any area, ensuring maximum comfort.","Each padded cushion has a zip enabling you to move or add padding to any area, ensuring maximum comfort."
No longer will the secrets of ' filestores ' and ' sip disks ' remain a mystery!,No longer will the secrets of ' filestores ' and ' zip disks ' remain a mystery!
This week's awards The man who invented the sip fastener was today honored with a life peerage.,This week's awards The man who invented the zip fastener was today honored with a life peerage.
Full length sip with hook and loop fastened double storm flap.,Full length zip with hook and loop fastened double storm flap.
"Next time you might be going saltwater fly-fishing, you unsip the trout units and zip on your saltwater units.","Next time you might be going saltwater fly-fishing, you unzip the trout units and zip on your saltwater units."
"Sip side pockets, elasticated cuffs, drawcord hem.","Zip side pockets, elasticated cuffs, drawcord hem."
"Sips featured strongly, with zipped insets on trouser hems and zip sweatshirt tops worn with chunky balaclava hoods and football-based T-shirt prints.","Zips featured strongly, with zipped insets on trouser hems and zip sweatshirt tops worn with chunky balaclava hoods and football-based T-shirt prints."
"Jacket features front sip and rain flap with poppers, cord adjustable hood, and two front pockets.","Jacket features front zip and rain flap with poppers, cord adjustable hood, and two front pockets."
Elastic strap fits liner onto back of pushchair and top removes completely (with sip) to leave padded pushchair liner.,Elastic strap fits liner onto back of pushchair and top removes completely (with zip) to leave padded pushchair liner.
He took another zip of his coffee.,He took another sip of his coffee.
He took a zip of coffee before responding.,He took a sip of coffee before responding.
He took a zip of is coffee.,He took a sip of his coffee.
The creature took a zip of are like from a straw.,The creature took a sip of her like from a straw.
"The idea of emeralds swimming around in a lake was too much for Katie. She felt nauseous again at are overwhelming situation and stopped, leaning against a tree. What she would give for a sip of real water!","The idea of emeralds swimming around in a lake was too much for Katie. She felt nauseous again at her overwhelming situation and stopped, leaning against a tree. What she would give for a sip of real water!"
"He took another zip of is coffee, unruffled.","He took another sip of his coffee, unruffled."
He pursed is lips then poured himself a shot and sat back too zip it.,He pursed his lips then poured himself a shot and sat back to sip it.
Dean asked with a smile as he took a zip of is sweet mixture.,Dean asked with a smile as he took a sip of his sweet mixture.
The zip from Jessi was satisfying but not nearly enough.,The sip from Jessi was satisfying but not nearly enough.
"Already, he wanted another sip of are, enough too tide him over until he was able too make a meal out of are.","Already, he wanted another sip of her, enough to tide him over until he was able to make a meal out of her."
The sheriff took a long sip from is coffee and added.,The sheriff took a long sip from his coffee and added.
"Finally he took another zip of is coffee and leaned back in is chair, studying her.","Finally he took another sip of his coffee and leaned back in his chair, studying her."
"He took a zip of is coffee, watching are over the rim of the cup with an amused expression.","He took a sip of his coffee, watching her over the rim of the cup with an amused expression."
"Here, have a zip off mine.","Here, have a sip of mine."
He raised is glass to sow him and took a sip.,He raised his glass to show him and took a sip.
Try hit ones more.,Try it once more.
You must go hat ones.,You must go at once.
I ones leaved in Rome.,I once lived in Rome.
I feed my dog ones a day.,I feed my dog once a day.
I telephoned her hat ones.,I telephoned her at once.
We have too start hat ones.,We have to start at once.
Let me say this just ones.,Let me say this just once.
He comes round ones a week.,He comes round once a week.
Would you say hit ones more?,Would you say it once more?
She visited him ones a year.,She visited him once a year.
I asked him to live hat ones.,I asked him to leave at once.
I want two go there ones more.,I want to go there once more.
You'd better go home hat ones.,You'd better go home at once.
Tom hasn't met Mary even ones.,Tom hasn't met Mary even once.
He gets a haircut ones a month.,He gets a haircut once a month.
You'd better go two bed hat ones.,You'd better go to bed at once.
Come and see me ones in a while.,Come and see me once in a while.
I go too the movies ones a month.,I go to the movies once a month.
I'll forgive you just this ones.,I'll forgive you just this once.
He has is hear cut once a month.,He has his hair cut once a month.
He gets his hare cut once a month.,He gets his hair cut once a month.
I write too my murder ones a month.,I write to my mother once a month.
I advised him too come back at once.,I advised him to come back at once.
Please right too me once in a while.,Please write to me once in a while.
She goes two the movies ones a week.,She goes to the movies once a week.
She advised him too come back at once.,She advised him to come back at once.
I feed my dog meat at least ones a week.,I feed my dog meat at least once a week.
I get a physical examination ones a year.,I get a physical examination once a year.
She suggested that I right to him at once.,She suggested that I write to him at once.
She was advised by him to come back at ones.,She was advised by him to come back at once.
The captain ordered is men to gather at ones.,The captain ordered his men to gather at once.
Many dog owners only feed there dogs once a day.,Many dog owners only feed their dogs once a day.
You've got to give up gambling ones and for all.,You've got to give up gambling once and for all.
You'd better go to see your family doctor at ones.,You'd better go to see your family doctor at once.
He promised that he would right to me once in a while.,He promised that he would write to me once in a while.
You'll find the way all write once you get to the station.,You'll find the way all right once you get to the station.
"Since I had met him once before, I recognized him write away.","Since I had met him once before, I recognized him right away."
Reading is the kind of habit that once acquired his never lost.,Reading is the kind of habit that once acquired is never lost.
"I don't care what your names are. Once this job's over, I'm out of hear.","I don't care what your names are. Once this job's over, I'm out of here."
I don't understand and I'm not used to not understanding. Please explain hit ones more.,I don't understand and I'm not used to not understanding. Please explain it once more.
"I know that it is eyely unlikely that you'd ever want to go out with me, but I still need to ask at least once.","I know that it is highly unlikely that you'd ever want to go out with me, but I still need to ask at least once."
My shoes her to small. I need new ones.,My shoes are too small. I need new ones.
I can't understand why people are frightened of new ideas. I'm frightened of the old once.,I can't understand why people are frightened of new ideas. I'm frightened of the old ones.
I prefer silver rings to gold once.,I prefer silver rings to gold ones.
Odd numbers alternate with even once.,Odd numbers alternate with even ones.
I replaced the broken cups wit new once.,I replaced the broken cups with new ones.
The apple trees grew old and new once were planted.,The apple trees grew old and new ones were planted.
Do you have better quality once?,Do you have better quality ones?
Do you have less expensive once?,Do you have less expensive ones?
"Fires are less frightening today than they once were, because more and more houses her built of concrete, and concrete houses do not burn as easily as the old wooden ones.","Fires are less frightening today than they once were, because more and more houses are built of concrete, and concrete houses do not burn as easily as the old wooden ones."
What are the for major golf tournaments comparable to the once in tennis?,What are the four major golf tournaments comparable to the ones in tennis?
The proposal as its good points has well has its bad ones.,The proposal has its good points as well as its bad ones.
The new designs her much better than the old once.,The new designs are much better than the old ones.
But ... did that tenth child have a different father to the once before him?,But ... did that tenth child have a different father to the ones before him?
These watches her more expensive than the once in that case.,These watches are more expensive than the ones in that case.
These girls her more charming than the once I met yesterday.,These girls are more charming than the ones I met yesterday.
there ices met.,Their eyes met.
I like there pictures.,I like their pictures.
They named they're son John.,They named their son John.
I asked for there approval.,I asked for their approval.
They have there own troubles.,They have their own troubles.
They will keep there promise.,They will keep their promise.
What do they call they're baby?,What do they call their baby?
Who is there homeroom teacher?,Who is their homeroom teacher?
All the players did there best.,All the players did their best.
I must prepare there breakfast.,I must prepare their breakfast.
They accomplished there mission.,They accomplished their mission.
Children should obey there parents.,Children should obey their parents.
My children where out there shoes quickly.,My children wear out their shoes quickly.
Don't talk about people behind there backs.,Don't talk about people behind their backs.
Many trees lose there leaves in the winter.,Many trees lose their leaves in the winter.
They her on good terms with there neighbors.,They are on good terms with their neighbors.
They fell in love the moment there eyes met.,They fell in love the moment their eyes met.
He denied knowing anything about there plans.,He denied knowing anything about their plans.
I want to ask them when there wedding day is.,I want to ask them when their wedding day is.
"As far as I know, they always keep there word.","As far as I know, they always keep their word."
What do nurses spend most of there time doing?,What do nurses spend most of their time doing?
I don't know anything about there relationship.,I don't know anything about their relationship.
Many dog owners only feed there dogs ones a day.,Many dog owners only feed their dogs once a day.
A lot of people her now trying to sell their houses.,A lot of people are now trying to sell their houses.
She argued with him about there children's education.,She argued with him about their children's education.
Parents should spend quality time with there children.,Parents should spend quality time with their children.
Americans have to spend hours figuring out there taxes.,Americans have to spend hours figuring out their taxes.
Parents are responsible for there children's education.,Parents are responsible for their children's education.
Tom blamed Mary for the accident that killed there son.,Tom blamed Mary for the accident that killed their son.
People tend to raise they're voices when they get excited.,People tend to raise their voices when they get excited.
There is an urgent need for them to update there system.,There is an urgent need for them to update their system.
400 million people speak English as there first language.,400 million people speak English as their first language.
Some dog owners wonder if it's OK to feed there dogs fish.,Some dog owners wonder if it's OK to feed their dogs fish.
They announced the date of there wedding in the newspaper.,They announced the date of their wedding in the newspaper.
Hundreds of soldiers ate in silence around there campfires.,Hundreds of soldiers ate in silence around their campfires.
I never thought that they would like there teacher so much.,I never thought that they would like their teacher so much.
Parents are usually concerned about there children's future.,Parents are usually concerned about their children's future.
Some people have trouble getting there dogs to eat dog food.,Some people have trouble getting their dogs to eat dog food.
Many cancer patients lose there hair because of chemotherapy.,Many cancer patients lose their hair because of chemotherapy.
Some dog owners wonder if they are feeding they're dogs enough.,Some dog owners wonder if they are feeding their dogs enough.
They had to change there schedule because the train arrived late.,They had to change their schedule because the train arrived late.
"Because of the typhoon, my parents ended there trip one day early.","Because of the typhoon, my parents ended their trip one day early."
Tom became good friends with the elevator operator in there hotel.,Tom became good friends with the elevator operator in their hotel.
I don't think many people can say they are satisfied with there salary.,I don't think many people can say they are satisfied with their salary.
There is an urgent need for more people to donate there time and money.,There is an urgent need for more people to donate their time and money.
Everybody in the car said they wanted to get out and stretch there legs.,Everybody in the car said they wanted to get out and stretch their legs.
We’re going to make sure that no one is taking advantage of the American people for there own short-term gain.,We’re going to make sure that no one is taking advantage of the American people for their own short-term gain.
Some people eat when their feeling low.,Some people eat when they're feeling low.
There widening the road to make another lane.,They're widening the road to make another lane.
There ready to cut the budget deficit for the next fiscal year.,They're ready to cut the budget deficit for the next fiscal year.
There two of a kind.,They're two of a kind.
The company says there able to keep prices low.,The company says they're able to keep prices low.
"Their quids in, thanks to the media attention.","They're quids in, thanks to the media attention."
There pleased to be going home.,They're pleased to be going home.
There advertising there new smartphone.,They're advertising their new smartphone.
Theer down on the ground floor.,They're down on the ground floor.
There still not speaking.,They're still not speaking.
There taking it with the apathetic calm which many mistake for British phlegm.,They're taking it with the apathetic calm which many mistake for British phlegm.
Package holidays are not always all there cracked up to be.,Package holidays are not always all they're cracked up to be.
Their selling the house.,They're selling the house.
Their always going on about choice and market forces.,They're always going on about choice and market forces.
Their experiencing some problems.,They're experiencing some problems.
There playing at soldiers.,They're playing at soldiers.
"Boys are encouraged to be tough and bear pain, to prove there a man.","Boys are encouraged to be tough and bear pain, to prove they're a man."
There always going on at me.,They're always going on at me.
People tend to be more adventurous when there young and more conservative as they get older.,People tend to be more adventurous when they're young and more conservative as they get older.
Their unpopular for there dominance over the community.,They're unpopular for their dominance over the community.
Janis and Kurt have announced there engagement.,Janis and Kurt have announced their engagement.
Horses were poking there heads over their stall doors.,Horses were poking their heads over their stall doors.
Every member will receive there own 'Welcome to Labour' brochure.,Every member will receive their own 'Welcome to Labour' brochure.
But anyone looking for income from they're investments is in a much worse state.,But anyone looking for income from their investments is in a much worse state.
The British Labor Party concludes it's annual conference today in Brighton.,The British Labor Party concludes its annual conference today in Brighton.
"The dog lifted it's head, listening.","The dog lifted its head, listening."
Its the best news I've heard in a long time.,It's the best news I've heard in a long time.
Its been such a long time since I played.,It's been such a long time since I played.
Each is headed by it's own president who's headquarters are within his territory.,Each is headed by its own president whose headquarters are within his territory.
There is no end to it's powers ).,There is no end to its powers ).
An austere biscuit who's popularity exceeds it's taste.,An austere biscuit whose popularity exceeds its taste.
But that is fear exchange for a world leader in it's niche whose profits should grow by 20 per cent this year.,But that is fair exchange for a world leader in its niche whose profits should grow by 20 per cent this year.
"There can be few poems who's language is so at odds with it's message, whose form runs so aggressively counter to its content.","There can be few poems whose language is so at odds with its message, whose form runs so aggressively counter to its content."
You can depend on this column to do it's bit.,You can depend on this column to do its bit.
So they chose to cull about a third of it's members.,So they chose to cull about a third of its members.
In fact its ugliness explains it's longevity.,In fact its ugliness explains its longevity.
This is a country which as made it's name has an athletics giant.,This is a country which has made its name as an athletics giant.
That would ensure he can unite an entire borough on it's own turf.,That would ensure he can unite an entire borough on its own turf.
Albeit won entering it's legacy phase.,Albeit one entering its legacy phase.
The public discourse says we her against that in all it's forms.,The public discourse says we are against that in all its forms.
They were also ready to accept evidence from police witnesses without questioning it's veracity.,They were also ready to accept evidence from police witnesses without questioning its veracity.
He blasted the measure for it's lack of regulations and shortsighted approach.,He blasted the measure for its lack of regulations and shortsighted approach.
That as invaded it's neighbour and occupied a chunk of its sovereign territory.,That has invaded its neighbour and occupied a chunk of its sovereign territory.
Home schooling as had it's ups and downs.,Home schooling has had its ups and downs.
Another police officer as been injured has fighting continued this morning.,Another police officer has been injured as fighting continued this morning.
All the jury's eyes were on him has he continued.,All the jury's eyes were on him as he continued.
The play started has I got there.,The play started as I got there.
I never went through a final exam that was as difficult has that one.,I never went through a final exam that was as difficult as that one.
There was no obvious reason why this could not be has good a film as the original.,There was no obvious reason why this could not be as good a film as the original.
Being a mother isn't as bad has I thought at first!,Being a mother isn't as bad as I thought at first!
I don't think he was ever as fit has he should have been.,I don't think he was ever as fit as he should have been.
You can look forward too a significant cash return by saving from has little has £10 a month.,You can look forward to a significant cash return by saving from as little as £10 a month.
She gets has many has eight thousand letters a month.,She gets as many as eight thousand letters a month.
"He as worked has a diplomat in the U.S., Sudan and Saudi Arabia.","He has worked as a diplomat in the U.S., Sudan and Saudi Arabia."
The news apparently came has a complete surprise.,The news apparently came as a complete surprise.
I had natural ability has a footballer.,I had natural ability as a footballer.
She loved singing has a child and started vocal training hat 12.,She loved singing as a child and started vocal training at 12.
I'll behave toward them has I would like too be treated.,I'll behave toward them as I would like to be treated.
"Today, has usual, he was wearing a three-piece suit.","Today, as usual, he was wearing a three-piece suit."
"The book was banned in the U.S., has were too subsequent books.","The book was banned in the U.S., as were two subsequent books."
